X.1,Casos,Mortes,Column 1
26-fev,1,0,undefined
27-fev,1,0,undefined
28-fev,1,0,undefined
29-fev,2,0,undefined
1-mar,2,0,undefined
2-mar,2,0,undefined
3-mar,2,0,undefined
4-mar,3,0,undefined
5-mar,8,0,undefined
6-mar,13,0,undefined
7-mar,25,0,undefined
8-mar,25,0,undefined
9-mar,25,0,undefined
10-mar,34,0,undefined
11-mar,52,0,undefined
12-mar,77,0,undefined
13-mar,98,0,undefined
14-mar,98,0,undefined
15-mar,98,0,undefined
16-mar,234,0,undefined
17-mar,349,1,undefined
18-mar,529,4,undefined
19-mar,647,7,undefined
20-mar,977,11,undefined
21-mar,1226,18,undefined
22-mar,1604,25,undefined
23-mar,1960,34,undefined
24-mar,2271,47,undefined
25-mar,2555,59,undefined
26-mar,2988,77,undefined
27-mar,3477,93,undefined
28-mar,3928,133,undefined
29-mar,4313,139,undefined
30-mar,4661,165,undefined
31-mar,5812,202,undefined
1-abr,6931,242,undefined
2-abr,8076,327,undefined
3-abr,9216,365,undefined