Estado,Brasil,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
16-mar,234,0,1,0,1,2,0,13,1,3,0,0,2,5,0,0,6,2,0,31,1,6,0,0,7,152,1,0
17-mar,349,3,1,0,1,16,11,19,8,10,0,0,6,14,0,0,12,19,0,33,1,19,0,0,7,164,5,0
18-mar,529,3,1,0,2,27,20,36,11,12,0,0,7,19,1,1,14,22,0,63,1,28,0,0,14,240,6,1
19-mar,647,3,4,0,3,31,24,42,13,15,0,0,9,29,1,1,23,28,3,66,1,37,0,0,21,286,6,1
20-mar,977,7,6,1,7,34,68,87,16,15,0,1,12,38,2,1,36,31,4,109,1,56,1,0,40,396,7,1
21-mar,1226,11,7,1,26,49,84,112,26,18,2,2,16,55,4,1,43,33,4,119,9,71,3,2,57,459,10,2
22-mar,1604,11,7,1,26,55,125,131,26,21,2,2,21,83,4,1,54,37,6,186,9,77,3,2,68,631,10,5
23-mar,1960,17,8,1,32,63,164,146,33,23,8,6,21,128,5,2,60,42,6,233,13,96,3,2,86,745,10,7
24-mar,2271,21,10,1,47,79,185,177,40,29,8,7,24,130,5,3,70,42,8,305,14,112,5,8,109,810,15,7
25-mar,2555,23,11,2,54,91,211,191,40,29,8,9,24,133,7,5,97,46,8,370,14,162,5,8,122,862,16,7
26-mar,2988,23,11,2,67,108,238,203,48,38,10,11,25,153,13,6,106,48,9,421,19,190,6,8,149,1052,16,8
27-mar,3477,25,12,3,81,123,282,242,54,49,14,11,28,189,16,10,125,57,9,493,28,197,6,12,163,1223,16,9
28-mar,3928,25,14,4,111,127,322,260,61,56,14,11,31,205,17,14,137,68,11,558,45,200,6,16,184,1406,16,9
29-mar,4313,34,14,4,140,156,359,298,72,58,22,11,36,231,20,14,152,73,16,600,68,239,6,16,197,1451,16,10
30-mar,4661,41,17,8,151,176,382,312,85,60,31,18,44,261,26,17,160,77,18,657,77,254,8,16,219,1517,18,11
31-mar,5833,42,18,10,175,217,401,333,97,65,52,25,48,275,34,19,185,87,18,708,82,305,9,22,235,2339,20,12
1ยบ-abr,6931,43,18,11,200,246,445,370,120,73,71,28,51,314,40,21,229,95,19,832,92,316,9,26,247,2981,22,12
2-abr,8076,45,18,12,229,267,563,377,139,73,81,41,53,370,49,29,258,106,19,992,106,386,10,30,281,3506,24,12
3-abr,9216,46,23,19,260,290,658,422,153,88,88,44,60,397,75,32,307,136,22,1074,176,410,10,37,301,4048,27,13
4-abr,10361,46,23,29,311,332,745,454,153,103,96,60,62,430,80,34,401,176,24,1246,215,418,11,42,356,4466,32,16
5-abr,11297,48,28,31,417,401,824,468,194,115,133,60,65,498,102,35,445,201,24,1394,242,468,14,42,379,4620,32,17
6-abr,12240,50,31,30,532,437,1023,485,209,119,172,76,66,525,123,36,466,223,26,1461,246,501,18,42,417,4866,32,18
7-abr,14072,50,34,51,636,462,1188,492,227,133,230,78,80,559,154,41,511,352,31,1688,254,555,23,49,457,5682,36,19
8-abr,16238,58,34,107,804,515,1374,511,273,159,273,90,85,614,165,55,550,401,38,1938,261,581,26,52,501,6708,39,23
9-abr,18176,62,37,110,899,568,1445,527,300,179,293,108,89,655,169,79,621,555,40,2216,261,636,28,63,693,7480,40,23