X.1,Casos,Column 1,Mortes
26-fev,1,undefined,0
27-fev,1,undefined,0
28-fev,1,undefined,0
29-fev,2,undefined,0
1-mar,2,undefined,0
2-mar,2,undefined,0
3-mar,2,undefined,0
4-mar,3,undefined,0
5-mar,8,undefined,0
6-mar,13,undefined,0
7-mar,25,undefined,0
8-mar,25,undefined,0
9-mar,25,undefined,0
10-mar,34,undefined,0
11-mar,52,undefined,0
12-mar,77,undefined,0
13-mar,98,undefined,0
14-mar,98,undefined,0
15-mar,98,undefined,0
16-mar,234,undefined,0
17-mar,349,undefined,1
18-mar,529,undefined,4
19-mar,647,undefined,7
20-mar,977,undefined,11
21-mar,1226,undefined,18
22-mar,1604,undefined,25
23-mar,1960,undefined,34
24-mar,2271,undefined,47
25-mar,2555,undefined,59
26-mar,2640,undefined,63